sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:1019159	Bufo americanus	RO:0002439	preys on	EOL:1052017	Agelaius phoeniceus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1045997	Athene cunicularia	RO:0002439	preys on	EOL:1018893	Ambystoma tigrinum							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:914958	Bubo virginianus	RO:0002439	preys on	EOL:1018893	Ambystoma tigrinum							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1178297	Strix uralensis	RO:0002439	preys on	EOL:1552	amphibia spp.							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1178288	Strix aluco	RO:0002439	preys on	EOL:1552	amphibians							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049272	Grus canadensis	RO:0002439	preys on	EOL:42706	Amphiuma sp.							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1019093	Rana pipiens	RO:0002439	preys on	EOL:916798	Archilochus colubris							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1048441	Buteo buteo	RO:0002439	preys on	EOL:333308	Bombina bombina							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1048441	Buteo buteo	RO:0002439	preys on	EOL:333308	Bombina borabina							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:330963	Rana catesbeiana	RO:0002439	preys on	EOL:1050637	Bombycilla cedrorum							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049046	Accipiter cooperii	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1047918	Anas platyrhynchos	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049175	Bonasa umbellus	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049057	Buteo jamaicensis	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049068	Buteo lineatus	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049084	Buteo platypterus	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049123	Circus cyaneus	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1177464	Corvus brachyrhynchos	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049263	Gallus gallus	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1025102	Otus asio	RO:0002439	preys on	EOL:1019159	Bufo americanus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:922309	Perisoreus canadensis	RO:0002439	preys on	EOL:1039204	Bufo boreas							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1048441	Buteo buteo	RO:0002439	preys on	EOL:333310	Bufo bufo							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:913266	Cuculus canorus	RO:0002439	preys on	EOL:333310	Bufo bufo							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:2869903	Falconiformes	RO:0002439	preys on	EOL:333310	Bufo bufo							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:696	Strigiformes	RO:0002439	preys on	EOL:333310	Bufo bufo							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1048456	Buteogallus urubitinga	RO:0002439	preys on	EOL:328385	Bufo guttatus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1048456	Buteogallus urubitinga	RO:0002439	preys on	EOL:333309	Bufo marinus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1048441	Buteo buteo	RO:0002439	preys on	EOL:1019150	Bufo viridis							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1019093	Rana pipiens	RO:0002439	preys on	EOL:918547	Dendroica petechia							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049263	Gallus gallus	RO:0002439	preys on	EOL:1019222	Desmognathus montacola							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:695	birds	RO:0002439	preys on	EOL:331056	Desmognathus ochrophaeus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:856046	Cyanocitta cristata	RO:0002439	preys on	EOL:331056	Desmognathus ochrophaeus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049263	Gallus gallus	RO:0002439	preys on	EOL:331056	Desmognathus ochrophaeus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049263	Gallus gallus	RO:0002439	preys on	EOL:330497	Desmognathus quadramaculatus							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049263	Gallus gallus	RO:0002439	preys on	EOL:41272	Desmognathus sp.							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:29415066	Pipilo erythropthalmus	RO:0002439	preys on	EOL:41272	Desmognathus sp.							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1050708	Toxostoma rufum	RO:0002439	preys on	EOL:41272	Desmognathus sp.							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1049263	Gallus gallus	RO:0002439	preys on	EOL:41272	Desmognathus spp							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:333309	Bufo marinus	RO:0002439	preys on	EOL:2822396	ducklings							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:330963	Rana catesbeiana	RO:0002439	preys on	EOL:2822396	ducklings							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1048664	Ardeola cinerea	RO:0002439	preys on	EOL:1553	far-eastern tree frog							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1047584	Geranospiza caerulescens	RO:0002439	preys on	EOL:331321	Fritziana goeldii							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
EOL:1048393	Accipiter nisus	RO:0002439	preys on	EOL:1553	frog							Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.
